lemma	form	morph_code
lõhki laenama	laena lõhki	ImpPrSg2
lõhki laenama	laena lõhki	IndPrPs_
lõhki laenama	laenab lõhki	IndPrSg3
lõhki laenama	laenad lõhki	IndPrSg2
lõhki laenama	laenake lõhki	ImpPrPl2
lõhki laenama	laenakem lõhki	ImpPrPl1
lõhki laenama	laenaks lõhki	KndPrPs
lõhki laenama	laenaksid lõhki	KndPrPl3
lõhki laenama	laenaksid lõhki	KndPrSg2
lõhki laenama	laenaksime lõhki	KndPrPl1
lõhki laenama	laenaksin lõhki	KndPrSg1
lõhki laenama	laenaksite lõhki	KndPrPl2
lõhki laenama	laenaku lõhki	ImpPrPs
lõhki laenama	laename lõhki	IndPrPl1
lõhki laenama	laenan lõhki	IndPrSg1
lõhki laenama	laenanud lõhki	PtsPtPsNeg
lõhki laenama	laenanuks lõhki	KndPtPs
lõhki laenama	laenanuksid lõhki	KndPtPl3
lõhki laenama	laenanuksid lõhki	KndPtSg2
lõhki laenama	laenanuksime lõhki	KndPtPl1
lõhki laenama	laenanuksin lõhki	KndPtSg1
lõhki laenama	laenanuksite lõhki	KndPtPl2
lõhki laenama	laenanuvat lõhki	KvtPtPs
lõhki laenama	laenas lõhki	IndIpfSg3
lõhki laenama	laenasid lõhki	IndIpfPl3
lõhki laenama	laenasid lõhki	IndIpfSg2
lõhki laenama	laenasime lõhki	IndIpfPl1
lõhki laenama	laenasin lõhki	IndIpfSg1
lõhki laenama	laenasite lõhki	IndIpfPl2
lõhki laenama	laenata lõhki	IndPrIps_
lõhki laenama	laenatagu lõhki	ImpPrIps
lõhki laenama	laenataks lõhki	KndPrIps
lõhki laenama	laenatakse lõhki	IndPrIps
lõhki laenama	laenatavat lõhki	KvtPrIps
lõhki laenama	laenate lõhki	IndPrPl2
lõhki laenama	laenati lõhki	IndIpfIps
lõhki laenama	laenatud lõhki	PtsPtIpsNeg
lõhki laenama	laenatuks lõhki	KndPtIps
lõhki laenama	laenatuvat lõhki	KvtPtIps
lõhki laenama	laenavad lõhki	IndPrPl3
lõhki laenama	laenavat lõhki	KvtPrPs
lõhki laenama	lõhki laenama	Sup
lõhki laenama	lõhki laenamaks	SupTr
lõhki laenama	lõhki laenamas	SupIn
lõhki laenama	lõhki laenamast	SupEl
lõhki laenama	lõhki laenamata	SupAb
lõhki laenama	lõhki laenanud	PtsPtPs
lõhki laenama	lõhki laenata	Inf
lõhki laenama	lõhki laenatama	SupIps
lõhki laenama	lõhki laenatav	PtsPrIps
lõhki laenama	lõhki laenates	Ger
lõhki laenama	lõhki laenatud	PtsPtIps
lõhki laenama	lõhki laenav	PtsPrPs
L	L	SgN
L	L-i	SgAdt
L	L-i	SgG
L	L-i	SgP
L	L-id	PlN
L	L-ide	PlG
L	L-idega	PlKom
L	L-ideks	PlTr
L	L-idel	PlAd
L	L-idele	PlAll
L	L-idelt	PlAbl
L	L-idena	PlEs
L	L-ideni	PlTer
L	L-ides	PlIn
L	L-idesse	PlIll
L	L-idest	PlEl
L	L-ideta	PlAb
L	L-iga	SgKom
L	L-iks	SgTr
L	L-il	SgAd
L	L-ile	SgAll
L	L-ilt	SgAbl
L	L-ina	SgEs
L	L-ini	SgTer
L	L-is	SgIn
L	L-isid	PlP
L	L-isse	SgIll
L	L-ist	SgEl
L	L-ita	SgAb
l	l	SgAdt
l	l	SgG
l	l	SgN
l	l-d	PlN
l	l-ga	SgKom
l	l-id	PlP
l	l-iks	PlTr
l	l-il	PlAd
l	l-ile	PlAll
l	l-ilt	PlAbl
l	l-is	PlIn
l	l-isse	PlIll
l	l-ist	PlEl
l	l-ks	SgTr
l	l-l	SgAd
l	l-le	SgAll
l	l-lt	SgAbl
l	l-na	SgEs
l	l-ni	SgTer
l	l-s	SgIn
l	l-sse	SgIll
l	l-st	SgEl
l	l-t	SgP
l	l-ta	SgAb
l	l-te	PlG
l	l-tega	PlKom
l	l-teks	PlTr
l	l-tel	PlAd
l	l-tele	PlAll
l	l-telt	PlAbl
l	l-tena	PlEs
l	l-teni	PlTer
l	l-tes	PlIn
l	l-tesse	PlIll
l	l-test	PlEl
l	l-teta	PlAb
La	La	ID
laabakil	laabakil	ID
laabakile	laabakile	ID
laaberdama	laaberda	ImpPrSg2
laaberdama	laaberda	IndPrPs_
laaberdama	laaberdab	IndPrSg3
laaberdama	laaberdad	IndPrSg2
laaberdama	laaberdada	Inf
laaberdama	laaberdades	Ger
laaberdama	laaberdage	ImpPrPl2
laaberdama	laaberdagem	ImpPrPl1
laaberdama	laaberdagu	ImpPrPs
laaberdama	laaberdaks	KndPrPs
laaberdama	laaberdaksid	KndPrPl3
laaberdama	laaberdaksid	KndPrSg2
laaberdama	laaberdaksime	KndPrPl1
laaberdama	laaberdaksin	KndPrSg1
laaberdama	laaberdaksite	KndPrPl2
laaberdama	laaberdama	Sup
laaberdama	laaberdamaks	SupTr
laaberdama	laaberdamas	SupIn
laaberdama	laaberdamast	SupEl
laaberdama	laaberdamata	SupAb
laaberdama	laaberdame	IndPrPl1
laaberdama	laaberdan	IndPrSg1
laaberdama	laaberdanud	PtsPtPs
laaberdama	laaberdanud	PtsPtPsNeg
laaberdama	laaberdanuks	KndPtPs
laaberdama	laaberdanuksid	KndPtPl3
laaberdama	laaberdanuksid	KndPtSg2
laaberdama	laaberdanuksime	KndPtPl1
laaberdama	laaberdanuksin	KndPtSg1
laaberdama	laaberdanuksite	KndPtPl2
laaberdama	laaberdanuvat	KvtPtPs
laaberdama	laaberdas	IndIpfSg3
laaberdama	laaberdasid	IndIpfPl3
laaberdama	laaberdasid	IndIpfSg2
laaberdama	laaberdasime	IndIpfPl1
laaberdama	laaberdasin	IndIpfSg1
laaberdama	laaberdasite	IndIpfPl2
laaberdama	laaberdata	IndPrIps_
laaberdama	laaberdatagu	ImpPrIps
laaberdama	laaberdataks	KndPrIps
laaberdama	laaberdatakse	IndPrIps
laaberdama	laaberdatama	SupIps
laaberdama	laaberdatav	PtsPrIps
laaberdama	laaberdatavat	KvtPrIps
laaberdama	laaberdate	IndPrPl2
laaberdama	laaberdati	IndIpfIps
laaberdama	laaberdatud	PtsPtIps
laaberdama	laaberdatud	PtsPtIpsNeg
laaberdama	laaberdatuks	KndPtIps
laaberdama	laaberdatuvat	KvtPtIps
laaberdama	laaberdav	PtsPrPs
laaberdama	laaberdavad	IndPrPl3
laaberdama	laaberdavat	KvtPrPs
laabijuust	laabijuust	SgN
laabijuust	laabijuuste	PlP
laabijuust	laabijuusteks	PlTr
laabijuust	laabijuustel	PlAd
laabijuust	laabijuustele	PlAll
laabijuust	laabijuustelt	PlAbl
laabijuust	laabijuustes	PlIn
laabijuust	laabijuustesse	PlIll
laabijuust	laabijuustest	PlEl
laabijuust	laabijuustu	SgAdt
laabijuust	laabijuustu	SgG
laabijuust	laabijuustu	SgP
laabijuust	laabijuustud	PlN
laabijuust	laabijuustude	PlG
laabijuust	laabijuustudega	PlKom
laabijuust	laabijuustudeks	PlTr
laabijuust	laabijuustudel	PlAd
laabijuust	laabijuustudele	PlAll
laabijuust	laabijuustudelt	PlAbl
laabijuust	laabijuustudena	PlEs
laabijuust	laabijuustudeni	PlTer
laabijuust	laabijuustudes	PlIn
laabijuust	laabijuustudesse	PlIll
laabijuust	laabijuustudest	PlEl
laabijuust	laabijuustudeta	PlAb
laabijuust	laabijuustuga	SgKom
laabijuust	laabijuustuks	SgTr
laabijuust	laabijuustul	SgAd
laabijuust	laabijuustule	SgAll
laabijuust	laabijuustult	SgAbl
laabijuust	laabijuustuna	SgEs
laabijuust	laabijuustuni	SgTer
laabijuust	laabijuustus	SgIn
laabijuust	laabijuustusid	PlP
laabijuust	laabijuustusse	SgIll
laabijuust	laabijuustust	SgEl
laabijuust	laabijuustuta	SgAb
laabivadak	-	SgAdt
laabivadak	laabivadak	SgN
laabivadak	laabivadaku	SgG
laabivadak	laabivadakud	PlN
laabivadak	laabivadakuga	SgKom
laabivadak	laabivadakuid	PlP
laabivadak	laabivadakuiks	PlTr
laabivadak	laabivadakuil	PlAd
laabivadak	laabivadakuile	PlAll
laabivadak	laabivadakuilt	PlAbl
laabivadak	laabivadakuis	PlIn
laabivadak	laabivadakuisse	PlIll
laabivadak	laabivadakuist	PlEl
laabivadak	laabivadakuks	SgTr
laabivadak	laabivadakul	SgAd
laabivadak	laabivadakule	SgAll
laabivadak	laabivadakult	SgAbl
laabivadak	laabivadakuna	SgEs
laabivadak	laabivadakuni	SgTer
laabivadak	laabivadakus	SgIn
laabivadak	laabivadakusse	SgIll
laabivadak	laabivadakust	SgEl
laabivadak	laabivadakut	SgP
laabivadak	laabivadakuta	SgAb
laabivadak	laabivadakute	PlG
laabivadak	laabivadakutega	PlKom
laabivadak	laabivadakuteks	PlTr
laabivadak	laabivadakutel	PlAd
laabivadak	laabivadakutele	PlAll
laabivadak	laabivadakutelt	PlAbl
laabivadak	laabivadakutena	PlEs
laabivadak	laabivadakuteni	PlTer
laabivadak	laabivadakutes	PlIn
laabivadak	laabivadakutesse	PlIll
laabivadak	laabivadakutest	PlEl
laabivadak	laabivadakuteta	PlAb
laabuma	laabu	ImpPrSg2
laabuma	laabu	IndPrPs_
laabuma	laabub	IndPrSg3
laabuma	laabud	IndPrSg2
laabuma	laabuda	Inf
laabuma	laabudes	Ger
laabuma	laabuge	ImpPrPl2
laabuma	laabugem	ImpPrPl1
laabuma	laabugu	ImpPrPs
laabuma	laabuks	KndPrPs
laabuma	laabuksid	KndPrPl3
laabuma	laabuksid	KndPrSg2
laabuma	laabuksime	KndPrPl1
laabuma	laabuksin	KndPrSg1
laabuma	laabuksite	KndPrPl2
laabuma	laabuma	Sup
laabuma	laabumaks	SupTr
laabuma	laabumas	SupIn
laabuma	laabumast	SupEl
laabuma	laabumata	SupAb
laabuma	laabume	IndPrPl1
laabuma	laabun	IndPrSg1
laabuma	laabunud	PtsPtPs
laabuma	laabunud	PtsPtPsNeg
laabuma	laabunuks	KndPtPs
laabuma	laabunuksid	KndPtPl3
laabuma	laabunuksid	KndPtSg2
laabuma	laabunuksime	KndPtPl1
laabuma	laabunuksin	KndPtSg1
laabuma	laabunuksite	KndPtPl2
laabuma	laabunuvat	KvtPtPs
laabuma	laabus	IndIpfSg3
laabuma	laabusid	IndIpfPl3
laabuma	laabusid	IndIpfSg2
laabuma	laabusime	IndIpfPl1
laabuma	laabusin	IndIpfSg1
laabuma	laabusite	IndIpfPl2
laabuma	laabuta	IndPrIps_
laabuma	laabutagu	ImpPrIps
laabuma	laabutaks	KndPrIps
laabuma	laabutakse	IndPrIps
laabuma	laabutama	SupIps
laabuma	laabutav	PtsPrIps
laabuma	laabutavat	KvtPrIps
laabuma	laabute	IndPrPl2
laabuma	laabuti	IndIpfIps
laabuma	laabutud	PtsPtIps
laabuma	laabutud	PtsPtIpsNeg
laabuma	laabutuks	KndPtIps
laabuma	laabutuvat	KvtPtIps
laabuma	laabuv	PtsPrPs
laabuma	laabuvad	IndPrPl3
laabuma	laabuvat	KvtPrPs
laad	laad	SgN
laad	laade	PlP
laad	laadeks	PlTr
laad	laadel	PlAd
laad	laadele	PlAll
laad	laadelt	PlAbl
laad	laades	PlIn
laad	laadesse	PlIll
laad	laadest	PlEl
laad	laadi	SgAdt
laad	laadi	SgG
laad	laadi	SgP
laad	laadid	PlN
laad	laadide	PlG
laad	laadidega	PlKom
laad	laadideks	PlTr
laad	laadidel	PlAd
laad	laadidele	PlAll
laad	laadidelt	PlAbl
laad	laadidena	PlEs
laad	laadideni	PlTer
laad	laadides	PlIn
laad	laadidesse	PlIll
laad	laadidest	PlEl
laad	laadideta	PlAb
laad	laadiga	SgKom
laad	laadiks	SgTr
laad	laadil	SgAd
laad	laadile	SgAll
laad	laadilt	SgAbl
laad	laadina	SgEs
laad	laadini	SgTer
laad	laadis	SgIn
laad	laadisid	PlP
laad	laadisse	SgIll
laad	laadist	SgEl
laad	laadita	SgAb
laad	lae	??
laad	laad	SgN
laad	laade	PlP
laad	laadi	SgAdt
laad	laadi	SgP
laad	laadide	PlG
laad	laadidega	PlKom
laad	laadideks	PlTr
laad	laadidel	PlAd
laad	laadidele	PlAll
laad	laadidelt	PlAbl
laad	laadidena	PlEs
laad	laadideni	PlTer
laad	laadides	PlIn
laad	laadidesse	PlIll
laad	laadidest	PlEl
laad	laadideta	PlAb
laad	laadisid	PlP
laad	lae	SgG
laad	laed	PlN
laad	laega	SgKom
laad	laeks	SgTr
laad	lael	SgAd
laad	laele	SgAll
laad	laelt	SgAbl
laad	laena	SgEs
laad	laeni	SgTer
laad	laes	SgIn
laad	laesse	SgIll
laad	laest	SgEl
laad	laeta	SgAb
laadakaup	laadakauba	SgG
laadakaup	laadakaubad	PlN
laadakaup	laadakaubaga	SgKom
laadakaup	laadakaubaks	SgTr
laadakaup	laadakaubal	SgAd
laadakaup	laadakaubale	SgAll
laadakaup	laadakaubalt	SgAbl
laadakaup	laadakaubana	SgEs
laadakaup	laadakaubani	SgTer
laadakaup	laadakaubas	SgIn
laadakaup	laadakaubasse	SgIll
laadakaup	laadakaubast	SgEl
laadakaup	laadakaubata	SgAb
laadakaup	laadakaubuks	PlTr
laadakaup	laadakaubul	PlAd
laadakaup	laadakaubule	PlAll
laadakaup	laadakaubult	PlAbl
laadakaup	laadakaubus	PlIn
laadakaup	laadakaubusse	PlIll
laadakaup	laadakaubust	PlEl
laadakaup	laadakaup	SgN
laadakaup	laadakaupa	SgAdt
laadakaup	laadakaupa	SgP
laadakaup	laadakaupade	PlG
laadakaup	laadakaupadega	PlKom
laadakaup	laadakaupadeks	PlTr
laadakaup	laadakaupadel	PlAd
laadakaup	laadakaupadele	PlAll
laadakaup	laadakaupadelt	PlAbl
laadakaup	laadakaupadena	PlEs
laadakaup	laadakaupadeni	PlTer
laadakaup	laadakaupades	PlIn
laadakaup	laadakaupadesse	PlIll
laadakaup	laadakaupadest	PlEl
laadakaup	laadakaupadeta	PlAb
laadakaup	laadakaupasid	PlP
laadakaup	laadakaupu	PlP
laadalaulik	-	SgAdt
laadalaulik	laadalaulik	SgN
laadalaulik	laadalauliku	SgG
laadalaulik	laadalaulikud	PlN
laadalaulik	laadalaulikuga	SgKom
laadalaulik	laadalaulikuid	PlP
laadalaulik	laadalaulikuiks	PlTr
laadalaulik	laadalaulikuil	PlAd
laadalaulik	laadalaulikuile	PlAll
laadalaulik	laadalaulikuilt	PlAbl
laadalaulik	laadalaulikuis	PlIn
laadalaulik	laadalaulikuisse	PlIll
laadalaulik	laadalaulikuist	PlEl
laadalaulik	laadalaulikuks	SgTr
laadalaulik	laadalaulikul	SgAd
laadalaulik	laadalaulikule	SgAll
laadalaulik	laadalaulikult	SgAbl
laadalaulik	laadalaulikuna	SgEs
laadalaulik	laadalaulikuni	SgTer
laadalaulik	laadalaulikus	SgIn
laadalaulik	laadalaulikusse	SgIll
laadalaulik	laadalaulikust	SgEl
laadalaulik	laadalaulikut	SgP
laadalaulik	laadalaulikuta	SgAb
laadalaulik	laadalaulikute	PlG
laadalaulik	laadalaulikutega	PlKom
laadalaulik	laadalaulikuteks	PlTr
laadalaulik	laadalaulikutel	PlAd
laadalaulik	laadalaulikutele	PlAll
laadalaulik	laadalaulikutelt	PlAbl
laadalaulik	laadalaulikutena	PlEs
laadalaulik	laadalaulikuteni	PlTer
laadalaulik	laadalaulikutes	PlIn
laadalaulik	laadalaulikutesse	PlIll
laadalaulik	laadalaulikutest	PlEl
laadalaulik	laadalaulikuteta	PlAb
laadaline	laadaline	SgN
laadaline	laadalise	SgG
laadaline	laadalised	PlN
laadaline	laadalisega	SgKom
laadaline	laadaliseks	SgTr
laadaline	laadalisel	SgAd
laadaline	laadalisele	SgAll
laadaline	laadaliselt	SgAbl
laadaline	laadalisena	SgEs
laadaline	laadaliseni	SgTer
laadaline	laadalises	SgIn
laadaline	laadalisesse	SgIll
laadaline	laadalisest	SgEl
laadaline	laadaliseta	SgAb
laadaline	laadalisi	PlP
laadaline	laadalisiks	PlTr
laadaline	laadalisil	PlAd
laadaline	laadalisile	PlAll
laadaline	laadalisilt	PlAbl
laadaline	laadalisis	PlIn
laadaline	laadalisisse	PlIll
laadaline	laadalisist	PlEl
laadaline	laadalisse	SgAdt
laadaline	laadalist	SgP
laadaline	laadaliste	PlG
laadaline	laadalistega	PlKom
laadaline	laadalisteks	PlTr
laadaline	laadalistel	PlAd
laadaline	laadalistele	PlAll
laadaline	laadalistelt	PlAbl
laadaline	laadalistena	PlEs
laadaline	laadalisteni	PlTer
laadaline	laadalistes	PlIn
laadaline	laadalistesse	PlIll
laadaline	laadalistest	PlEl
laadaline	laadalisteta	PlAb
laadanali	laadanali	SgN
laadanali	laadanalja	SgAdt
laadanali	laadanalja	SgG
laadanali	laadanalja	SgP
laadanali	laadanaljad	PlN
laadanali	laadanaljade	PlG
laadanali	laadanaljadega	PlKom
laadanali	laadanaljadeks	PlTr
laadanali	laadanaljadel	PlAd
laadanali	laadanaljadele	PlAll
laadanali	laadanaljadelt	PlAbl
laadanali	laadanaljadena	PlEs
laadanali	laadanaljadeni	PlTer
laadanali	laadanaljades	PlIn
laadanali	laadanaljadesse	PlIll
laadanali	laadanaljadest	PlEl
laadanali	laadanaljadeta	PlAb
laadanali	laadanaljaga	SgKom
laadanali	laadanaljaks	SgTr
laadanali	laadanaljal	SgAd
laadanali	laadanaljale	SgAll
laadanali	laadanaljalt	SgAbl
laadanali	laadanaljana	SgEs
laadanali	laadanaljani	SgTer
laadanali	laadanaljas	SgIn
laadanali	laadanaljasid	PlP
laadanali	laadanaljasse	SgIll
laadanali	laadanaljast	SgEl
laadanali	laadanaljata	SgAb
laadanali	laadanalju	PlP
laadanali	laadanaljuks	PlTr
laadanali	laadanaljul	PlAd
laadanali	laadanaljule	PlAll
laadanali	laadanaljult	PlAbl
laadanali	laadanaljus	PlIn
laadanali	laadanaljusse	PlIll
laadanali	laadanaljust	PlEl
laadaplats	laadaplats	SgN
laadaplats	laadaplatse	PlP
laadaplats	laadaplatseks	PlTr
laadaplats	laadaplatsel	PlAd
laadaplats	laadaplatsele	PlAll
laadaplats	laadaplatselt	PlAbl
laadaplats	laadaplatses	PlIn
laadaplats	laadaplatsesse	PlIll
laadaplats	laadaplatsest	PlEl
laadaplats	laadaplatsi	SgAdt
laadaplats	laadaplatsi	SgG
laadaplats	laadaplatsi	SgP
laadaplats	laadaplatsid	PlN
laadaplats	laadaplatside	PlG
laadaplats	laadaplatsidega	PlKom
laadaplats	laadaplatsideks	PlTr
laadaplats	laadaplatsidel	PlAd
laadaplats	laadaplatsidele	PlAll
laadaplats	laadaplatsidelt	PlAbl
laadaplats	laadaplatsidena	PlEs
laadaplats	laadaplatsideni	PlTer
laadaplats	laadaplatsides	PlIn
laadaplats	laadaplatsidesse	PlIll
laadaplats	laadaplatsidest	PlEl
laadaplats	laadaplatsideta	PlAb
laadaplats	laadaplatsiga	SgKom
laadaplats	laadaplatsiks	SgTr
laadaplats	laadaplatsil	SgAd
laadaplats	laadaplatsile	SgAll
laadaplats	laadaplatsilt	SgAbl
laadaplats	laadaplatsina	SgEs
laadaplats	laadaplatsini	SgTer
laadaplats	laadaplatsis	SgIn
laadaplats	laadaplatsisid	PlP
laadaplats	laadaplatsisse	SgIll
laadaplats	laadaplatsist	SgEl
laadaplats	laadaplatsita	SgAb
laadapäev	laadapäev	SgN
laadapäev	laadapäeva	SgAdt
laadapäev	laadapäeva	SgG
laadapäev	laadapäeva	SgP
laadapäev	laadapäevad	PlN
laadapäev	laadapäevade	PlG
laadapäev	laadapäevadega	PlKom
laadapäev	laadapäevadeks	PlTr
laadapäev	laadapäevadel	PlAd
laadapäev	laadapäevadele	PlAll
laadapäev	laadapäevadelt	PlAbl
laadapäev	laadapäevadena	PlEs
laadapäev	laadapäevadeni	PlTer
laadapäev	laadapäevades	PlIn
laadapäev	laadapäevadesse	PlIll
laadapäev	laadapäevadest	PlEl
laadapäev	laadapäevadeta	PlAb
laadapäev	laadapäevaga	SgKom
laadapäev	laadapäevaks	SgTr
laadapäev	laadapäeval	SgAd
laadapäev	laadapäevale	SgAll
laadapäev	laadapäevalt	SgAbl
laadapäev	laadapäevana	SgEs
laadapäev	laadapäevani	SgTer
laadapäev	laadapäevas	SgIn
laadapäev	laadapäevasid	PlP
laadapäev	laadapäevasse	SgIll
laadapäev	laadapäevast	SgEl
laadapäev	laadapäevata	SgAb
laadapäev	laadapäevi	PlP
laadapäev	laadapäeviks	PlTr
laadapäev	laadapäevil	PlAd
laadapäev	laadapäevile	PlAll
laadapäev	laadapäevilt	PlAbl
laadapäev	laadapäevis	PlIn
laadapäev	laadapäevisse	PlIll
laadapäev	laadapäevist	PlEl
laadaveiderdaja	-	SgAdt
laadaveiderdaja	laadaveiderdaja	SgG
laadaveiderdaja	laadaveiderdaja	SgN
laadaveiderdaja	laadaveiderdajad	PlN
laadaveiderdaja	laadaveiderdajaga	SgKom
laadaveiderdaja	laadaveiderdajaid	PlP
laadaveiderdaja	laadaveiderdajaiks	PlTr
laadaveiderdaja	laadaveiderdajail	PlAd
laadaveiderdaja	laadaveiderdajaile	PlAll
laadaveiderdaja	laadaveiderdajailt	PlAbl
laadaveiderdaja	laadaveiderdajais	PlIn
laadaveiderdaja	laadaveiderdajaisse	PlIll
laadaveiderdaja	laadaveiderdajaist	PlEl
laadaveiderdaja	laadaveiderdajaks	SgTr
laadaveiderdaja	laadaveiderdajal	SgAd
laadaveiderdaja	laadaveiderdajale	SgAll
laadaveiderdaja	laadaveiderdajalt	SgAbl
laadaveiderdaja	laadaveiderdajana	SgEs
laadaveiderdaja	laadaveiderdajani	SgTer
laadaveiderdaja	laadaveiderdajas	SgIn
laadaveiderdaja	laadaveiderdajasse	SgIll
laadaveiderdaja	laadaveiderdajast	SgEl
laadaveiderdaja	laadaveiderdajat	SgP
laadaveiderdaja	laadaveiderdajata	SgAb
laadaveiderdaja	laadaveiderdajate	PlG
laadaveiderdaja	laadaveiderdajatega	PlKom
laadaveiderdaja	laadaveiderdajateks	PlTr
laadaveiderdaja	laadaveiderdajatel	PlAd
laadaveiderdaja	laadaveiderdajatele	PlAll
laadaveiderdaja	laadaveiderdajatelt	PlAbl
laadaveiderdaja	laadaveiderdajatena	PlEs
laadaveiderdaja	laadaveiderdajateni	PlTer
laadaveiderdaja	laadaveiderdajates	PlIn
laadaveiderdaja	laadaveiderdajatesse	PlIll
laadaveiderdaja	laadaveiderdajatest	PlEl
laadaveiderdaja	laadaveiderdajateta	PlAb
laadija	-	SgAdt
laadija	laadija	SgG
laadija	laadija	SgN
laadija	laadijad	PlN
laadija	laadijaga	SgKom
laadija	laadijaid	PlP
laadija	laadijaiks	PlTr
laadija	laadijail	PlAd
laadija	laadijaile	PlAll
laadija	laadijailt	PlAbl
laadija	laadijais	PlIn
laadija	laadijaisse	PlIll
laadija	laadijaist	PlEl
laadija	laadijaks	SgTr
laadija	laadijal	SgAd
laadija	laadijale	SgAll
laadija	laadijalt	SgAbl
laadija	laadijana	SgEs
laadija	laadijani	SgTer
laadija	laadijas	SgIn
laadija	laadijasse	SgIll
laadija	laadijast	SgEl
laadija	laadijat	SgP
laadija	laadijata	SgAb
laadija	laadijate	PlG
laadija	laadijatega	PlKom
laadija	laadijateks	PlTr
laadija	laadijatel	PlAd
laadija	laadijatele	PlAll
laadija	laadijatelt	PlAbl
laadija	laadijatena	PlEs
laadija	laadijateni	PlTer
laadija	laadijates	PlIn
laadija	laadijatesse	PlIll
laadija	laadijatest	PlEl
laadija	laadijateta	PlAb
laadik	-	SgAdt
laadik	laadik	SgN
laadik	laadiku	SgG
laadik	laadikud	PlN
laadik	laadikuga	SgKom
laadik	laadikuid	PlP
laadik	laadikuiks	PlTr
laadik	laadikuil	PlAd
laadik	laadikuile	PlAll
laadik	laadikuilt	PlAbl
laadik	laadikuis	PlIn
laadik	laadikuisse	PlIll
laadik	laadikuist	PlEl
laadik	laadikuks	SgTr
laadik	laadikul	SgAd
laadik	laadikule	SgAll
laadik	laadikult	SgAbl
laadik	laadikuna	SgEs
laadik	laadikuni	SgTer
laadik	laadikus	SgIn
laadik	laadikusse	SgIll
laadik	laadikust	SgEl
laadik	laadikut	SgP
laadik	laadikuta	SgAb
laadik	laadikute	PlG
laadik	laadikutega	PlKom
laadik	laadikuteks	PlTr
laadik	laadikutel	PlAd
laadik	laadikutele	PlAll
laadik	laadikutelt	PlAbl
laadik	laadikutena	PlEs
laadik	laadikuteni	PlTer
laadik	laadikutes	PlIn
laadik	laadikutesse	PlIll
laadik	laadikutest	PlEl
laadik	laadikuteta	PlAb
laadiline	laadiline	SgN
laadiline	laadilise	SgG
laadiline	laadilised	PlN
laadiline	laadilisega	SgKom
laadiline	laadiliseks	SgTr
laadiline	laadilisel	SgAd
laadiline	laadilisele	SgAll
laadiline	laadiliselt	SgAbl
laadiline	laadilisena	SgEs
laadiline	laadiliseni	SgTer
laadiline	laadilises	SgIn
laadiline	laadilisesse	SgIll
laadiline	laadilisest	SgEl
laadiline	laadiliseta	SgAb
laadiline	laadilisi	PlP
laadiline	laadilisiks	PlTr
laadiline	laadilisil	PlAd
laadiline	laadilisile	PlAll
laadiline	laadilisilt	PlAbl
laadiline	laadilisis	PlIn
laadiline	laadilisisse	PlIll
laadiline	laadilisist	PlEl
laadiline	laadilisse	SgAdt
laadiline	laadilist	SgP
laadiline	laadiliste	PlG
laadiline	laadilistega	PlKom
laadiline	laadilisteks	PlTr
laadiline	laadilistel	PlAd
laadiline	laadilistele	PlAll
laadiline	laadilistelt	PlAbl
laadiline	laadilistena	PlEs
laadiline	laadilisteni	PlTer
laadiline	laadilistes	PlIn
laadiline	laadilistesse	PlIll
laadiline	laadilistest	PlEl
laadiline	laadilisteta	PlAb
laadima	laadi	ImpPrSg2
laadima	laadi	IndPrPs_
laadima	laadib	IndPrSg3
laadima	laadid	IndPrSg2
laadima	laadida	Inf
laadima	laadides	Ger
laadima	laadige	ImpPrPl2
laadima	laadigem	ImpPrPl1
laadima	laadigu	ImpPrPs
laadima	laadiks	KndPrPs
laadima	laadiksid	KndPrPl3
laadima	laadiksid	KndPrSg2
laadima	laadiksime	KndPrPl1
laadima	laadiksin	KndPrSg1
laadima	laadiksite	KndPrPl2
laadima	laadima	Sup
laadima	laadimaks	SupTr
laadima	laadimas	SupIn
laadima	laadimast	SupEl
laadima	laadimata	SupAb
laadima	laadime	IndPrPl1
laadima	laadin	IndPrSg1
laadima	laadinud	PtsPtPs
laadima	laadinud	PtsPtPsNeg
laadima	laadinuks	KndPtPs
laadima	laadinuksid	KndPtPl3
laadima	laadinuksid	KndPtSg2
laadima	laadinuksime	KndPtPl1
laadima	laadinuksin	KndPtSg1
laadima	laadinuksite	KndPtPl2
laadima	laadinuvat	KvtPtPs
laadima	laadis	IndIpfSg3
laadima	laadisid	IndIpfPl3
laadima	laadisid	IndIpfSg2
laadima	laadisime	IndIpfPl1
laadima	laadisin	IndIpfSg1
laadima	laadisite	IndIpfPl2
laadima	laadita	IndPrIps_
laadima	laaditagu	ImpPrIps
laadima	laaditaks	KndPrIps
laadima	laaditakse	IndPrIps
laadima	laaditama	SupIps
laadima	laaditav	PtsPrIps
laadima	laaditavat	KvtPrIps
laadima	laadite	IndPrPl2
laadima	laaditi	IndIpfIps
laadima	laaditud	PtsPtIps
laadima	laaditud	PtsPtIpsNeg
laadima	laadituks	KndPtIps
laadima	laadituvat	KvtPtIps
laadima	laadiv	PtsPrPs
laadima	laadivad	IndPrPl3
laadima	laadivat	KvtPrPs
laadima	lae	ImpPrSg2
laadima	lae	IndPrPs_
laadima	laeb	IndPrSg3
laadima	laed	IndPrSg2
laadima	laeks	KndPrPs
laadima	laeksid	KndPrPl3
laadima	laeksid	KndPrSg2
laadima	laeksime	KndPrPl1
laadima	laeksin	KndPrSg1
